time,speed,engineSpeed,power
1.27,43.55255872,1821.111331,30.68896865
1.28,43.60543807,1823.322434,30.72622966
1.29,43.60543807,1823.322434,30.72622966
1.3,43.60543807,1823.322434,30.72622966
1.31,43.72551061,1828.34316,30.81083783
1.32,43.72551061,1828.34316,30.81083783
1.33,43.87728338,1834.689403,30.91778332
1.34,43.87728338,1834.689403,30.91778332
1.35,44.05210919,1841.999588,31.04097296
1.36,44.05210919,1841.999588,31.04097296
1.37,44.38229624,1855.806064,31.27363667
1.38,44.38229624,1855.806064,31.27363667
1.39,44.78046014,1872.454932,31.55419974
1.4,44.78046014,1872.454932,31.55419974
1.41,45.17689392,1889.031456,31.83354369
1.42,45.17689392,1889.031456,31.83354369
1.43,45.56913744,1905.432769,32.10993501
1.44,45.56913744,1905.432769,32.10993501
1.45,45.95730062,1921.663465,32.38345115
1.46,45.95730062,1921.663465,32.38345115
1.47,46.34148854,1937.72794,32.65416615
1.48,46.34148854,1937.72794,32.65416615
1.49,46.72180171,1953.630395,32.92215084
1.5,46.72180171,1953.630395,32.92215084
1.51,47.09833636,1969.374855,33.18747303
1.52,47.4711847,1984.965176,33.45019768
1.53,47.4711847,1984.965176,33.45019768
1.54,47.84043514,2000.405053,33.7103871
1.55,47.84043514,2000.405053,33.7103871
1.56,48.20617249,2015.698033,33.96810106
1.57,48.20617249,2015.698033,33.96810106
1.58,48.56847822,2030.847524,34.22339695
1.59,48.56847822,2030.847524,34.22339695
1.6,48.92743059,2045.856796,34.47632992
1.61,48.92743059,2045.856796,34.47632992
1.62,49.28310483,2060.728997,34.72695298
1.63,49.28310483,2060.728997,34.72695298
1.64,49.63557334,2075.467153,34.97531715
1.65,49.9849058,2090.074178,35.22147153
1.66,49.9849058,2090.074178,35.22147153
1.67,50.33116934,2104.552878,35.46546341
1.68,50.33116934,2104.552878,35.46546341
1.69,50.67442863,2118.905959,35.70733838
1.7,50.67442863,2118.905959,35.70733838
1.71,51.01474607,2133.136028,35.94714039
1.72,51.01474607,2133.136028,35.94714039
1.73,51.35218183,2147.245603,36.18491185
1.74,51.68679401,2161.237112,36.42069369
1.75,51.68679401,2161.237112,36.42069369
1.76,52.01863873,2175.112903,36.65452547
1.77,52.01863873,2175.112903,36.65452547
1.78,52.3477702,2188.875241,36.88644538
1.79,52.65929423,2201.90134,37.10595834
1.8,52.65929423,2201.90134,37.10595834
1.81,52.94182128,2213.714956,37.30503881
1.82,52.94182128,2213.714956,37.30503881
1.83,53.21653903,2225.202034,37.49861652
1.84,53.21653903,2225.202034,37.49861652
1.85,53.47067531,2235.828515,37.67769165
1.86,53.70299988,2245.54296,37.84139733
1.87,53.70299988,2245.54296,37.84139733
1.88,53.912016,2254.282782,37.9886789
1.89,53.912016,2254.282782,37.9886789
1.9,54.13002858,2263.398783,38.14229976
1.91,54.36238386,2273.114511,38.30602708
1.92,54.36238386,2273.114511,38.30602708
1.93,54.60700557,2283.34315,38.47839785
1.94,54.60700557,2283.34315,38.47839785
1.95,54.86223291,2294.015253,38.65824179
1.96,55.12670698,2305.074,38.84460137
1.97,55.12670698,2305.074,38.84460137
1.98,55.38961305,2316.067182,39.02985607
1.99,55.65825604,2327.300249,39.21915324
2,55.65825604,2327.300249,39.21915324
2.01,55.93203054,2338.747885,39.41206629
2.02,55.93203054,2338.747885,39.41206629
2.03,56.21040726,2350.387959,39.60822226
2.04,56.49292055,2362.201,39.80729303
2.05,56.49292055,2362.201,39.80729303
2.06,56.77924651,2374.173464,40.00905038
2.07,57.07256024,2386.438116,40.21573159
2.08,57.07256024,2386.438116,40.21573159
2.09,57.36383915,2398.617683,40.42097899
2.1,57.36383915,2398.617683,40.42097899
2.11,57.65311528,2410.713506,40.62481515
2.12,57.9404198,2422.726888,40.82726202
2.13,57.9404198,2422.726888,40.82726202
2.14,58.22578306,2434.659097,41.028341
2.15,58.50923461,2446.511371,41.22807291
2.16,58.50923461,2446.511371,41.22807291
2.17,58.79080323,2458.284911,41.42647803
2.18,59.07051697,2469.980891,41.62357612
2.19,59.07051697,2469.980891,41.62357612
2.2,59.34840315,2481.600454,41.81938644
2.21,59.62448844,2493.144713,42.01392777
